ablation_id	component_family	scenario	setting_id	repeat	variant_label	n_cells	n_genes	false_signal	false_call	ari	nmi	rare_f1	rare_precision	rare_recall	power_pass	config_whiten	config_pc_rule	config_hvg_rule	config_embedding_rule	config_rare_state_guard	config_min_embedding_pcs	config_n_permutations	config_tw_alpha	analysis_status	no_call_reason	n_signal_pcs	n_embedding_pcs	cluster_n	selected_hvg_n	strict_signal_pcs	accepted_embedding_pcs	near_edge_candidate_pcs	embedding_pc_stability_min	embedding_pc_stability_median	null_false_positive_rate	selected_edge	mp_edge	tw_edge	runtime_seconds	peak_memory_mb	prevalence	effect_size	batch_states	batch_markers_per_state	batch_dropout_rate	batch_ari	batch_nmi	batch_aware
default_v3_3	reference	realistic_null	library_multinomial_null	0	default RMTGuard v3.3	180	360	0.0	0.0							biwhiten	mp_tw	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	1	0	1	360	1	0	0				5.908095120565943	5.701770541719695	5.908095120565943	0.1678195999993477	4.89891529083252								
pc_rule_mp_only	pc_calibration	realistic_null	library_multinomial_null	0	MP edge only	180	360	0.0	0.0							biwhiten	mp	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	1	0	1	360	1	0	0				5.701770541719695	5.701770541719695	5.908095120565943	0.1602364999998826	3.638005256652832								
pc_rule_mp_tw_permutation	pc_calibration	realistic_null	library_multinomial_null	0	MP + TW + permutation	180	360	0.0	0.0							biwhiten	mp_tw_permutation	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	3	0.1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	1	0	1	360	1	0	0			0.0	5.815431783007504	5.701770541719695	5.815431783007504	0.1773490000050515	3.636704444885254								
hvg_rule_dispersion	hvg_selection	realistic_null	library_multinomial_null	0	dispersion HVG	180	360	0.0	0.0							biwhiten	mp_tw	dispersion	adaptive_near_edge	adaptive_binary_split	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	1	0	1	360	1	0	0				5.908095120565943	5.701770541719695	5.908095120565943	0.1762271999905351	3.636288642883301								
hvg_rule_spectral_plateau	hvg_selection	realistic_null	library_multinomial_null	0	spectral plateau HVG	180	360	0.0	0.0							biwhiten	mp_tw	spectral_plateau	adaptive_near_edge	adaptive_binary_split	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	1	0	1	120	1	0	0				3.499974266618721	3.325248789547331	3.499974266618721	0.1858204000018304	3.63640022277832								
embedding_strict_signal	adaptive_embedding	realistic_null	library_multinomial_null	0	strict signal embedding	180	360	0.0	0.0							biwhiten	mp_tw	spectral_stability	strict_signal	adaptive_binary_split	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	1	0	1	360	1	0	0				5.908095120565943	5.701770541719695	5.908095120565943	0.1600719999987632	3.636545181274414								
rare_state_guard_off	rare_state_guard	realistic_null	library_multinomial_null	0	rare-state guard off	180	360	0.0	0.0							biwhiten	mp_tw	spectral_stability	adaptive_near_edge	off	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	1	0	1	360	1	0	0				5.908095120565943	5.701770541719695	5.908095120565943	0.1589088000037009	3.636545181274414								
force_min_embedding_pcs_10	no_call_contract	realistic_null	library_multinomial_null	0	force minimum 10 embedding PCs	180	360	0.0	1.0							biwhiten	mp_tw	spectral_stability	adaptive_near_edge	adaptive_binary_split	10	0	0.01	ok		1	10	4	360	1	10	5	0.5099902993641048	0.6937734701708878		5.908095120565943	5.701770541719695	5.908095120565943	5.4860575000057	19.267894744873047								
whiten_zscore	biwhitening	realistic_null	library_multinomial_null	0	z-score whitening	180	360	1.0	1.0							zscore	mp_tw	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	ok		2	4	4	360	2	4	10	0.7629227685754417	0.8900138841211873		5.648622943534511	5.451359743450085	5.648622943534511	2.239257199995336	8.134854316711426								
default_v3_3	reference	realistic_null	gene_permutation_null	0	default RMTGuard v3.3	180	360	0.0	0.0							biwhiten	mp_tw	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	0	0	1	240	0	0	0				5.036292522708587	4.834365104781225	5.036292522708587	0.1690286000084597	4.247906684875488								
pc_rule_mp_only	pc_calibration	realistic_null	gene_permutation_null	0	MP edge only	180	360	0.0	0.0							biwhiten	mp	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	0	0	1	240	0	0	0				4.834365104781225	4.834365104781225	5.036292522708587	0.1533113000041339	3.6360111236572266								
pc_rule_mp_tw_permutation	pc_calibration	realistic_null	gene_permutation_null	0	MP + TW + permutation	180	360	0.0	0.0							biwhiten	mp_tw_permutation	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	3	0.1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	0	0	1	240	0	0	0			0.0	4.945604013397969	4.834365104781225	4.945604013397969	0.1931857000017771	3.6360654830932617								
hvg_rule_dispersion	hvg_selection	realistic_null	gene_permutation_null	0	dispersion HVG	180	360	0.0	0.0							biwhiten	mp_tw	dispersion	adaptive_near_edge	adaptive_binary_split	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	0	0	1	360	0	0	0				6.282197373251934	6.062808263764975	6.282197373251934	0.1896012000070186	3.6362733840942383								
hvg_rule_spectral_plateau	hvg_selection	realistic_null	gene_permutation_null	0	spectral plateau HVG	180	360	0.0	0.0							biwhiten	mp_tw	spectral_plateau	adaptive_near_edge	adaptive_binary_split	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	0	0	1	240	0	0	0				5.036292522708587	4.834365104781225	5.036292522708587	0.1564396000030683	3.6362733840942383								
embedding_strict_signal	adaptive_embedding	realistic_null	gene_permutation_null	0	strict signal embedding	180	360	0.0	0.0							biwhiten	mp_tw	spectral_stability	strict_signal	adaptive_binary_split	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	0	0	1	240	0	0	0				5.036292522708587	4.834365104781225	5.036292522708587	0.1469770000112475	3.635966300964356								
rare_state_guard_off	rare_state_guard	realistic_null	gene_permutation_null	0	rare-state guard off	180	360	0.0	0.0							biwhiten	mp_tw	spectral_stability	adaptive_near_edge	off	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	0	0	1	240	0	0	0				5.036292522708587	4.834365104781225	5.036292522708587	0.1463255999988177	3.635966300964356								
force_min_embedding_pcs_10	no_call_contract	realistic_null	gene_permutation_null	0	force minimum 10 embedding PCs	180	360	0.0	1.0							biwhiten	mp_tw	spectral_stability	adaptive_near_edge	adaptive_binary_split	10	0	0.01	ok		0	10	3	240	0	10	3	0.6872698232415209	0.6942105629680148		5.036292522708587	4.834365104781225	5.036292522708587	3.008868299992173	7.046473503112793								
whiten_zscore	biwhitening	realistic_null	gene_permutation_null	0	z-score whitening	180	360	0.0	0.0							zscore	mp_tw	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	0	0	1	240	0	0	0				4.910068722833881	4.713202179721624	4.910068722833881	0.0716742000076919	3.40363883972168								
default_v3_3	reference	realistic_null	library_stratified_gene_null	0	default RMTGuard v3.3	180	360	0.0	0.0							biwhiten	mp_tw	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	1	0	1	360	1	0	0				6.060724798975059	5.849070032737687	6.060724798975059	0.1912211000017123	4.247491836547852								
pc_rule_mp_only	pc_calibration	realistic_null	library_stratified_gene_null	0	MP edge only	180	360	0.0	0.0							biwhiten	mp	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	1	0	1	360	1	0	0				5.849070032737687	5.849070032737687	6.060724798975059	0.2316736999928252	3.636032104492188								
pc_rule_mp_tw_permutation	pc_calibration	realistic_null	library_stratified_gene_null	0	MP + TW + permutation	180	360	0.0	0.0							biwhiten	mp_tw_permutation	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	3	0.1	diagnostic_no_call	insufficient_signal_pcs_for_embedding	1	0	1	360	1	0	0			0.0	5.965667597553016	5.849070032737687	5.965667597553016	0.2844914000015706	3.636088371276856								
hvg_rule_dispersion	hvg_selection	realistic_null	library_stratified_gene_null	0	dispersion HVG	180	360	0.0	0.0							biwhiten	mp_tw	dispersion	adaptive_near_edge	adaptive_binary_split	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	1	0	1	360	1	0	0				6.060724798975059	5.849070032737687	6.060724798975059	0.2404769999993732	3.636086463928223								
hvg_rule_spectral_plateau	hvg_selection	realistic_null	library_stratified_gene_null	0	spectral plateau HVG	180	360	0.0	0.0							biwhiten	mp_tw	spectral_plateau	adaptive_near_edge	adaptive_binary_split	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	1	0	1	120	1	0	0				3.507448787710617	3.3323501681061183	3.507448787710617	0.2215566000086255	3.6360931396484375								
embedding_strict_signal	adaptive_embedding	realistic_null	library_stratified_gene_null	0	strict signal embedding	180	360	0.0	0.0							biwhiten	mp_tw	spectral_stability	strict_signal	adaptive_binary_split	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	1	0	1	360	1	0	0				6.060724798975059	5.849070032737687	6.060724798975059	0.2169395000091754	3.636140823364258								
rare_state_guard_off	rare_state_guard	realistic_null	library_stratified_gene_null	0	rare-state guard off	180	360	0.0	0.0							biwhiten	mp_tw	spectral_stability	adaptive_near_edge	off	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	1	0	1	360	1	0	0				6.060724798975059	5.849070032737687	6.060724798975059	0.2161749000078998	3.6360387802124015								
force_min_embedding_pcs_10	no_call_contract	realistic_null	library_stratified_gene_null	0	force minimum 10 embedding PCs	180	360	0.0	1.0							biwhiten	mp_tw	spectral_stability	adaptive_near_edge	adaptive_binary_split	10	0	0.01	ok		1	10	3	360	1	10	5	0.6005895935200647	0.806967975579996		6.060724798975059	5.849070032737687	6.060724798975059	3.517515200001071	7.416141510009766								
whiten_zscore	biwhitening	realistic_null	library_stratified_gene_null	0	z-score whitening	180	360	0.0	0.0							zscore	mp_tw	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	diagnostic_no_call	insufficient_signal_pcs_for_embedding	1	0	1	360	1	0	0				5.980341013069246	5.771493437717367	5.980341013069246	0.0892265000002225	3.898523330688477								
default_v3_3	reference	rare_state_power	prevalence_0.020_effect_6.00	0	default RMTGuard v3.3	180	360			0.0797624912804749	0.2393913441489882	1.0	1.0	1.0	1.0	biwhiten	mp_tw	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	ok		2	3	3	360	2	3	5	0.8911376857266047	1.0		6.087636496462734	5.875041910446419	6.087636496462734	2.3755003999976907	7.798859596252441	0.02	6.0						
pc_rule_mp_only	pc_calibration	rare_state_power	prevalence_0.020_effect_6.00	0	MP edge only	180	360			0.0796672532205896	0.2393064748169527	1.0	1.0	1.0	1.0	biwhiten	mp	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	0	0.01	ok		2	4	3	360	2	4	7	0.7583728758261782	0.9206691746422966		5.875041910446419	5.875041910446419	6.087636496462734	2.522584199992707	6.99208927154541	0.02	6.0						
pc_rule_mp_tw_permutation	pc_calibration	rare_state_power	prevalence_0.020_effect_6.00	0	MP + TW + permutation	180	360			0.0797624912804749	0.2393913441489882	1.0	1.0	1.0	1.0	biwhiten	mp_tw_permutation	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	3	0.1	ok		2	3	3	360	2	3	6	0.9069103885691644	1.0	0.0	5.992157208453105	5.875041910446419	5.992157208453105	2.4619270999974106	6.8800201416015625	0.02	6.0						
hvg_rule_dispersion	hvg_selection	rare_state_power	prevalence_0.020_effect_6.00	0	dispersion HVG	180	360			0.0797624912804749	0.2393913441489882	1.0	1.0	1.0	1.0	biwhiten	mp_tw	dispersion	adaptive_near_edge	adaptive_binary_split	0	0	0.01	ok		2	3	3	360	2	3	5	0.928072266218888	1.0		6.087636496462734	5.875041910446419	6.087636496462734	2.5117261999985203	6.879180908203125	0.02	6.0						
hvg_rule_spectral_plateau	hvg_selection	rare_state_power	prevalence_0.020_effect_6.00	0	spectral plateau HVG	180	360			0.0622615106472836	0.194099791286255	1.0	1.0	1.0	1.0	biwhiten	mp_tw	spectral_plateau	adaptive_near_edge	adaptive_binary_split	0	0	0.01	ok		2	3	4	120	2	3	2	0.9398180921372112	1.0		3.499084315043896	3.3244032660744387	3.499084315043896	2.5567139999911888	6.257047653198242	0.02	6.0						
embedding_strict_signal	adaptive_embedding	rare_state_power	prevalence_0.020_effect_6.00	0	strict signal embedding	180	360			0.0798959984126372	0.2395102931606616	1.0	1.0	1.0	1.0	biwhiten	mp_tw	spectral_stability	strict_signal	adaptive_binary_split	0	0	0.01	ok		2	2	3	360	2	2	5	1.0	1.0		6.087636496462734	5.875041910446419	6.087636496462734	2.019242299997132	6.751249313354492	0.02	6.0						
rare_state_guard_off	rare_state_guard	rare_state_power	prevalence_0.020_effect_6.00	0	rare-state guard off	180	360			-0.0004428052251016	1.4042094697682318e-05	0.0434782608695652	0.0227272727272727	0.5	0.0	biwhiten	mp_tw	spectral_stability	adaptive_near_edge	off	0	0	0.01	ok		2	4	2	360	2	4	5	0.8050505268108087	0.9222533956459932		6.087636496462734	5.875041910446419	6.087636496462734	1.3087841000087792	6.991311073303223	0.02	6.0						
