dataset_id	ablation_id	component_family	repeat	variant_label	n_cells	n_genes	label_key	batch_key	label_n	batch_n	analysis_status	no_call_reason	n_signal_pcs	n_embedding_pcs	accepted_embedding_pcs	cluster_n	selected_hvg_n	runtime_seconds	peak_memory_mb	label_ari	label_nmi	batch_ari	batch_nmi	config_whiten	config_hvg_rule	config_embedding_rule	config_rare_state_guard	config_min_embedding_pcs	batch_aware_fit	run_label	subsample_fraction	source_n_cells	subsample_n_cells
kang_ifnb_pbmc	default_v3_3	reference	0	default RMTGuard v3.3	1000	15701	cell	batch	8	8	ok		5	8	8	5	2000	30.30685789999552	376.42555141448975	0.7829042782067559	0.7455361841853445	0.0199091164664549	0.0382465817758304	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	False	default	1.0	1000	1000
kang_ifnb_pbmc	embedding_strict_signal	adaptive_embedding	0	strict signal embedding	1000	15701	cell	batch	8	8	ok		5	5	5	4	2000	21.67651390000537	375.1963138580322	0.4828606291818398	0.5590596256212164	0.0120652015887183	0.0182894499796347	biwhiten	spectral_stability	strict_signal	adaptive_binary_split	0	False	default	1.0	1000	1000
kang_ifnb_pbmc	hvg_rule_dispersion	hvg_selection	0	dispersion HVG	1000	15701	cell	batch	8	8	ok		5	6	6	5	2000	23.654514299996663	375.1955146789551	0.790205355080869	0.7518393461774171	0.0212371591155906	0.0392869698930303	biwhiten	dispersion	adaptive_near_edge	adaptive_binary_split	0	False	default	1.0	1000	1000
kang_ifnb_pbmc	rare_state_guard_off	rare_state_guard	0	rare-state guard off	1000	15701	cell	batch	8	8	ok		5	8	8	4	2000	24.7421267000027	375.1955337524414	0.8160861590268641	0.7768237379672717	0.0188544819824228	0.0346861020155459	biwhiten	spectral_stability	adaptive_near_edge	off	0	False	default	1.0	1000	1000
kang_ifnb_pbmc	force_min_embedding_pcs_10	no_call_contract	0	force minimum 10 embedding PCs	1000	15701	cell	batch	8	8	ok		5	10	10	5	2000	29.593491699997685	375.2001819610596	0.6860058860600312	0.6440276897847714	0.022924416931927	0.0359737961432932	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	10	False	default	1.0	1000	1000
kang_ifnb_pbmc	whiten_zscore	biwhitening	0	z-score whitening	1000	15701	cell	batch	8	8	ok		50	50	50	9	2000	52.37713009999425	375.8065252304077	0.3919326315375788	0.5088796031446295	0.0239242475651622	0.0382877133431468	zscore	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	False	default	1.0	1000	1000
kang_ifnb_pbmc	batch_residualized	batch_residualization	0	batch residualized fit	1000	15701	cell	batch	8	8	ok		6	7	7	5	2000	25.3918699999922	479.3990249633789	0.7624763156195575	0.7292126311933698	0.0115786155935136	0.0280265549594249	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	True	default	1.0	1000	1000
baron_pancreas	default_v3_3	reference	0	default RMTGuard v3.3	1000	16359	cell	batch	14	4	ok		16	18	18	6	2000	31.45983789999445	390.8880968093872	0.5512207088605049	0.6599312884757759	0.0768667658401768	0.0886117244213638	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	False	default	1.0	1000	1000
baron_pancreas	embedding_strict_signal	adaptive_embedding	0	strict signal embedding	1000	16359	cell	batch	14	4	ok		16	16	16	6	2000	28.22252950000984	390.276535987854	0.5426591513742725	0.6664301500566076	0.0744932420240166	0.0861617227792379	biwhiten	spectral_stability	strict_signal	adaptive_binary_split	0	False	default	1.0	1000	1000
baron_pancreas	hvg_rule_dispersion	hvg_selection	0	dispersion HVG	1000	16359	cell	batch	14	4	ok		16	17	17	7	2000	32.21380579999823	390.276065826416	0.5438787591152406	0.6588354418749542	0.0739779906853726	0.0853630884757897	biwhiten	dispersion	adaptive_near_edge	adaptive_binary_split	0	False	default	1.0	1000	1000
baron_pancreas	rare_state_guard_off	rare_state_guard	0	rare-state guard off	1000	16359	cell	batch	14	4	ok		16	17	17	9	2000	23.502703599995584	390.2761058807373	0.5375832745920621	0.6503613441591763	0.0725926258274321	0.0873322090453946	biwhiten	spectral_stability	adaptive_near_edge	off	0	False	default	1.0	1000	1000
baron_pancreas	force_min_embedding_pcs_10	no_call_contract	0	force minimum 10 embedding PCs	1000	16359	cell	batch	14	4	ok		16	20	20	7	2000	32.97109340000316	390.2811527252197	0.5295656055812821	0.65020493967053	0.0693878632079892	0.0803208908770335	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	10	False	default	1.0	1000	1000
baron_pancreas	whiten_zscore	biwhitening	0	z-score whitening	1000	16359	cell	batch	14	4	ok		50	50	50	12	2000	35.160371599995415	390.8872900009155	0.7105508377811979	0.7434721254891284	0.0690720363226037	0.1098071801180859	zscore	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	False	default	1.0	1000	1000
baron_pancreas	batch_residualized	batch_residualization	0	batch residualized fit	1000	16359	cell	batch	14	4	ok		16	17	17	5	2000	34.294106899993494	499.4886016845703	0.6871038948120346	0.7178637554537355	0.0308587380915041	0.0378011464786321	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	True	default	1.0	1000	1000
pbmc68k_zheng2017	default_v3_3	reference	0	default RMTGuard v3.3	1000	13187	cell	batch	11	1	ok		2	3	3	4	2000	23.993640500004403	318.1911678314209	0.0838371833709274	0.1508488455609658			biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	False	default	1.0	1000	1000
pbmc68k_zheng2017	embedding_strict_signal	adaptive_embedding	0	strict signal embedding	1000	13187	cell	batch	11	1	ok		2	2	2	4	2000	17.29611660000228	317.578049659729	0.0414266916593467	0.0760659370722907			biwhiten	spectral_stability	strict_signal	adaptive_binary_split	0	False	default	1.0	1000	1000
pbmc68k_zheng2017	hvg_rule_dispersion	hvg_selection	0	dispersion HVG	1000	13187	cell	batch	11	1	ok		2	3	3	4	2000	22.91696349999984	317.57825088500977	0.0838371833709274	0.1508488455609658			biwhiten	dispersion	adaptive_near_edge	adaptive_binary_split	0	False	default	1.0	1000	1000
pbmc68k_zheng2017	rare_state_guard_off	rare_state_guard	0	rare-state guard off	1000	13187	cell	batch	11	1	ok		2	3	3	3	2000	19.94458179999492	317.5780830383301	0.0814900217337321	0.140360854929403			biwhiten	spectral_stability	adaptive_near_edge	off	0	False	default	1.0	1000	1000
pbmc68k_zheng2017	force_min_embedding_pcs_10	no_call_contract	0	force minimum 10 embedding PCs	1000	13187	cell	batch	11	1	ok		2	10	10	5	2000	45.26607979999972	317.5779809951782	0.1388544949420047	0.2168473531281236			biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	10	False	default	1.0	1000	1000
pbmc68k_zheng2017	whiten_zscore	biwhitening	0	z-score whitening	1000	13187	cell	batch	11	1	ok		50	50	50	19	2000	58.59324780000316	318.1890163421631	0.090509937843458	0.1711027192896437			zscore	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	False	default	1.0	1000	1000
pbmc68k_zheng2017	batch_residualized	batch_residualization	0	batch residualized fit	1000	13187	cell	batch	11	1	ok		2	3	3	4	2000	20.165503800002625	503.310791015625	0.0838371833709274	0.1508488455609658			biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	True	default	1.0	1000	1000
kang_ifnb_pbmc	default_v3_3	reference	0	default RMTGuard v3.3	800	15701	cell	batch	8	8	ok		5	8	8	5	2000	17.571382299996912	300.2755126953125	0.5260867545711636	0.610784252984016	0.011420769047823	0.020061662890631	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	0	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	embedding_strict_signal	adaptive_embedding	0	strict signal embedding	800	15701	cell	batch	8	8	ok		5	5	5	4	2000	12.627909699993324	299.0473690032959	0.5654756683222464	0.6538551641371174	0.0076302861802157	0.0193451399922757	biwhiten	spectral_stability	strict_signal	adaptive_binary_split	0	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	rare_state_guard_off	rare_state_guard	0	rare-state guard off	800	15701	cell	batch	8	8	ok		5	8	8	3	2000	12.77278880000813	299.0469675064087	0.5777098141030542	0.6626083583122797	0.0086633036871093	0.0135422794901114	biwhiten	spectral_stability	adaptive_near_edge	off	0	False	subsample80_pilot10	0.8	1000	800
kang_ifnb_pbmc	force_min_embedding_pcs_10	no_call_contract	0	force minimum 10 embedding PCs	800	15701	cell	batch	8	8	ok		5	10	10	6	2000	16.838341700000456	299.0513525009155	0.7651186848719845	0.7130999646898923	0.0246042817876824	0.0355151240797075	biwhiten	spectral_stability	adaptive_near_edge	adaptive_binary_split	10	False	subsample80_pilot10	0.8	1000	800
