run_label	subsample_fraction	dataset_id	component_family	ablation_id	variant_label	n_rows	n_repeats	mean_label_ari	label_ari_ci95_low	label_ari_ci95_high	label_ari_sd	mean_label_nmi	mean_batch_ari	batch_ari_ci95_low	batch_ari_ci95_high	batch_ari_sd	mean_batch_nmi	mean_signal_pcs	mean_embedding_pcs	mean_cluster_n	no_call_rate	mean_runtime_seconds
default	1.0	baron_pancreas	adaptive_embedding	embedding_strict_signal	strict signal embedding	1	1	0.5426591513742725	0.5426591513742725	0.5426591513742725		0.6664301500566076	0.0744932420240166	0.0744932420240166	0.0744932420240166		0.0861617227792379	16.0	16.0	6.0	0.0	28.22252950000984
default	1.0	baron_pancreas	batch_residualization	batch_residualized	batch residualized fit	1	1	0.6871038948120346	0.6871038948120346	0.6871038948120346		0.7178637554537355	0.0308587380915041	0.0308587380915041	0.0308587380915041		0.0378011464786321	16.0	17.0	5.0	0.0	34.294106899993494
default	1.0	baron_pancreas	biwhitening	whiten_zscore	z-score whitening	1	1	0.7105508377811979	0.7105508377811979	0.7105508377811979		0.7434721254891284	0.0690720363226037	0.0690720363226037	0.0690720363226037		0.1098071801180859	50.0	50.0	12.0	0.0	35.160371599995415
default	1.0	baron_pancreas	hvg_selection	hvg_rule_dispersion	dispersion HVG	1	1	0.5438787591152406	0.5438787591152406	0.5438787591152406		0.6588354418749542	0.0739779906853726	0.0739779906853726	0.0739779906853726		0.0853630884757897	16.0	17.0	7.0	0.0	32.21380579999823
default	1.0	baron_pancreas	no_call_contract	force_min_embedding_pcs_10	force minimum 10 embedding PCs	1	1	0.5295656055812821	0.5295656055812821	0.5295656055812821		0.65020493967053	0.0693878632079892	0.0693878632079892	0.0693878632079892		0.0803208908770335	16.0	20.0	7.0	0.0	32.97109340000316
default	1.0	baron_pancreas	rare_state_guard	rare_state_guard_off	rare-state guard off	1	1	0.5375832745920621	0.5375832745920621	0.5375832745920621		0.6503613441591763	0.0725926258274321	0.0725926258274321	0.0725926258274321		0.0873322090453946	16.0	17.0	9.0	0.0	23.502703599995584
default	1.0	baron_pancreas	reference	default_v3_3	default RMTGuard v3.3	1	1	0.5512207088605049	0.5512207088605049	0.5512207088605049		0.6599312884757759	0.0768667658401768	0.0768667658401768	0.0768667658401768		0.0886117244213638	16.0	18.0	6.0	0.0	31.45983789999445
default	1.0	kang_ifnb_pbmc	adaptive_embedding	embedding_strict_signal	strict signal embedding	1	1	0.4828606291818398	0.4828606291818398	0.4828606291818398		0.5590596256212164	0.0120652015887183	0.0120652015887183	0.0120652015887183		0.0182894499796347	5.0	5.0	4.0	0.0	21.67651390000537
default	1.0	kang_ifnb_pbmc	batch_residualization	batch_residualized	batch residualized fit	1	1	0.7624763156195575	0.7624763156195575	0.7624763156195575		0.7292126311933698	0.0115786155935136	0.0115786155935136	0.0115786155935136		0.0280265549594249	6.0	7.0	5.0	0.0	25.3918699999922
default	1.0	kang_ifnb_pbmc	biwhitening	whiten_zscore	z-score whitening	1	1	0.3919326315375788	0.3919326315375788	0.3919326315375788		0.5088796031446295	0.0239242475651622	0.0239242475651622	0.0239242475651622		0.0382877133431468	50.0	50.0	9.0	0.0	52.37713009999425
default	1.0	kang_ifnb_pbmc	hvg_selection	hvg_rule_dispersion	dispersion HVG	1	1	0.790205355080869	0.790205355080869	0.790205355080869		0.7518393461774171	0.0212371591155906	0.0212371591155906	0.0212371591155906		0.0392869698930303	5.0	6.0	5.0	0.0	23.654514299996663
default	1.0	kang_ifnb_pbmc	no_call_contract	force_min_embedding_pcs_10	force minimum 10 embedding PCs	1	1	0.6860058860600312	0.6860058860600312	0.6860058860600312		0.6440276897847714	0.022924416931927	0.022924416931927	0.022924416931927		0.0359737961432932	5.0	10.0	5.0	0.0	29.593491699997685
default	1.0	kang_ifnb_pbmc	rare_state_guard	rare_state_guard_off	rare-state guard off	1	1	0.8160861590268641	0.8160861590268641	0.8160861590268641		0.7768237379672717	0.0188544819824228	0.0188544819824228	0.0188544819824228		0.0346861020155459	5.0	8.0	4.0	0.0	24.7421267000027
default	1.0	kang_ifnb_pbmc	reference	default_v3_3	default RMTGuard v3.3	1	1	0.7829042782067559	0.7829042782067559	0.7829042782067559		0.7455361841853445	0.0199091164664549	0.0199091164664549	0.0199091164664549		0.0382465817758304	5.0	8.0	5.0	0.0	30.30685789999552
default	1.0	pbmc68k_zheng2017	adaptive_embedding	embedding_strict_signal	strict signal embedding	1	1	0.0414266916593467	0.0414266916593467	0.0414266916593467		0.0760659370722907						2.0	2.0	4.0	0.0	17.29611660000228
default	1.0	pbmc68k_zheng2017	batch_residualization	batch_residualized	batch residualized fit	1	1	0.0838371833709274	0.0838371833709274	0.0838371833709274		0.1508488455609658						2.0	3.0	4.0	0.0	20.165503800002625
default	1.0	pbmc68k_zheng2017	biwhitening	whiten_zscore	z-score whitening	1	1	0.090509937843458	0.090509937843458	0.090509937843458		0.1711027192896437						50.0	50.0	19.0	0.0	58.59324780000316
default	1.0	pbmc68k_zheng2017	hvg_selection	hvg_rule_dispersion	dispersion HVG	1	1	0.0838371833709274	0.0838371833709274	0.0838371833709274		0.1508488455609658						2.0	3.0	4.0	0.0	22.91696349999984
default	1.0	pbmc68k_zheng2017	no_call_contract	force_min_embedding_pcs_10	force minimum 10 embedding PCs	1	1	0.1388544949420047	0.1388544949420047	0.1388544949420047		0.2168473531281236						2.0	10.0	5.0	0.0	45.26607979999972
default	1.0	pbmc68k_zheng2017	rare_state_guard	rare_state_guard_off	rare-state guard off	1	1	0.0814900217337321	0.0814900217337321	0.0814900217337321		0.140360854929403						2.0	3.0	3.0	0.0	19.94458179999492
default	1.0	pbmc68k_zheng2017	reference	default_v3_3	default RMTGuard v3.3	1	1	0.0838371833709274	0.0838371833709274	0.0838371833709274		0.1508488455609658						2.0	3.0	4.0	0.0	23.993640500004403
subsample80_pilot10	0.8	baron_pancreas	adaptive_embedding	embedding_strict_signal	strict signal embedding	20	20	0.5619231762538365	0.5557157764169607	0.5681305760907123	0.014163436733444343	0.6759256128532533	0.07121215100459219	0.06719806814840389	0.07522623386078049	0.009158940952809743	0.08259935225505635	14.85	14.85	5.4	0.0	17.401652145000845
