auc_delta	cluster	cluster_top_signature	collection	dataset_id	doi	evidence_note	expected_cluster_label	leading_overlap_genes	mean_metric_background	mean_metric_in_pathway	notes	overlap_marker_genes	overlap_n	p_adj_bh	p_value	panel	pathway_name	pathway_priority_label	pathway_size_in_ranked_genes	ranked_gene_n	reference	reference_marker_genes	significant_fdr_0_05	status	summary_id	support_status	url	value
											Supports pathway/atlas layer with public data limits; not clinical or mechanistic proof.					figure4_pathway_atlas_summary								pathway_atlas_supported_with_limits	pdac_pathway_atlas_validation_status			pathway_atlas_supported_with_limits
											BH-FDR <=0.05 and positive pathway rank effect.					figure4_pathway_atlas_summary								pass	significant_hallmark_pathways			189
											MSigDB C2 Reactome subset; BH-FDR <=0.05 and positive pathway rank effect.					figure4_pathway_atlas_summary								pass	significant_reactome_pathways			1466
											Rows with >=2 overlap markers against a cited PDAC atlas/reference marker family.					figure4_pathway_atlas_summary								pass	atlas_supported_cluster_signature_rows			7
											Significant pathways not dominated by low-specificity translation/ribosomal/infection-proxy labels.					figure4_pathway_atlas_summary								pass	manuscript_interpretable_pathways			215
											Collections with at least one significant pathway.					figure4_pathway_atlas_summary								pass	gene_set_collections_with_signal			hallmark,reactome
											GMT files are downloaded on demand and not committed as raw external resources.					figure4_pathway_atlas_summary								controlled_boundary	gene_set_resources			hallmark:h.all.v2025.1.Hs.symbols.gmt;reactome:c2.cp.reactome.v2025.1.Hs.symbols.gmt
											Do not claim prognosis, therapy response, clinical validation, or new PDAC mechanism.					figure4_pathway_atlas_summary								controlled_boundary	claim_boundary			public_data_nonclinical_hypothesis_generating_rank_based_pathway_layer
0.1572380307136405	0	ductal_malignant_context	hallmark	pdac_gse154778				ATF3;B4GALT5;BCL3;BCL6;BIRC3;BTG1;BTG2;CCND1;CCNL1;CFLAR;CLCF1;CSF2;EDN1;EFNA1;EGR2;EIF1;F2RL1;F3;FOS;FOSB;FUT4;IER2;IL6ST;JUN;KLF2;KLF4;KLF6;LAMB3;LDLR;LIF	1.2649218284583028	1.7942888581504424				0.0008079152651048652	9.102903970092995e-05	figure4_pathway_top_hits	HALLMARK_TNFA_SIGNALING_VIA_NFKB	manuscript_interpretable_candidate	48	3000			True					
0.1572380307136405	0	ductal_malignant_context	hallmark	pdac_gse154778				ATF3;B4GALT5;BCL3;BCL6;BIRC3;BTG1;BTG2;CCND1;CCNL1;CFLAR;CLCF1;CSF2;EDN1;EFNA1;EGR2;EIF1;F2RL1;F3;FOS;FOSB;FUT4;IER2;IL6ST;JUN;KLF2;KLF4;KLF6;LAMB3;LDLR;LIF	1.2649218284583028	1.7942888581504424				0.0008079152651048652	9.102903970092995e-05	figure4_pathway_interpretable_hits	HALLMARK_TNFA_SIGNALING_VIA_NFKB	manuscript_interpretable_candidate	48	3000			True					
