analysis_status	annotation_ari	annotation_nmi	centroid_tree_spearman	cluster_n	dataset_id	lineage_order_spearman_abs	method	method_label	n_cells	n_embedding_pcs	n_reference_labels	n_signal_pcs	neighbor_same_lineage_rate	neighbor_tree_distance	no_call_reason	peak_memory_mb	reference_edge_recall	repeat	runtime_seconds	seed	selected_hvg_n
ok	0.26796831783174	0.5030016890941152	0.224487932430674	7	paul15_hematopoiesis	0.4824727815457394	rmtguard	RMTGuard	960	16	19	15	0.7360416666666666	1.1508333333333334		0.0	0.6111111111111112	0	23.52822649999871	20260427	2000
ok	0.2638411207800705	0.5057469742117623	0.2260687479913216	7	paul15_hematopoiesis	0.48479445661214743	rmtguard_strict_signal	RMTGuard strict	960	15	19	15	0.7408333333333333	1.1327083333333334		0.0	0.6111111111111112	0	22.15268080000169	20261436	2000
ok	0.16858415477099242	0.37473251994226264	0.24572711082219678	3	paul15_hematopoiesis	0.4247753374649066	fixed_pcs_30	Fixed 30 PCs	960	30	19	30	0.7086805555555554	1.2604861111111112		54.096614837646484	0.6666666666666666	0	17.67328869999983	20262445	3451
ok	0.02825110805983222	0.08982422125329893	0.23434135948354484	6	paul15_hematopoiesis	0.42451590238036324	fixed_pcs_50	Fixed 50 PCs	960	50	19	50	0.6746527777777778	1.4365277777777778		55.81806182861328	0.6666666666666666	0	19.784281800002645	20263454	3451
ok	0.26502307716593104	0.4839750344923596	0.23619493846531642	6	paul15_hematopoiesis	0.47839887291920663	rmtguard	RMTGuard	960	14	19	14	0.7336805555555556	1.1752083333333334		0.0	0.6111111111111112	1	20.344247400000313	20260528	2000
ok	0.26502307716593104	0.4839750344923596	0.23619493846531642	6	paul15_hematopoiesis	0.47839887291920663	rmtguard_strict_signal	RMTGuard strict	960	14	19	14	0.7336805555555556	1.1752083333333334		0.0	0.6111111111111112	1	19.04766059999747	20261537	2000
ok	0.16970301426724918	0.4155091028174008	0.24542888948176791	6	paul15_hematopoiesis	0.4088193398144923	fixed_pcs_30	Fixed 30 PCs	960	30	19	30	0.7011805555555555	1.3073611111111112		54.09659957885742	0.6111111111111112	1	17.380098099998577	20262546	3451
ok	0.07867248735728047	0.14115749480325335	0.2387928585162887	5	paul15_hematopoiesis	0.4099510354886484	fixed_pcs_50	Fixed 50 PCs	960	50	19	50	0.6779861111111113	1.4583333333333333		55.81806182861328	0.6666666666666666	1	19.519760099999985	20263555	3451
ok	0.27461672279518273	0.4857615151775347	0.22446611135698408	6	paul15_hematopoiesis	0.49164218102574336	rmtguard	RMTGuard	960	16	19	15	0.7356250000000001	1.1697916666666666		0.0	0.6111111111111112	2	22.463235799998074	20260629	2000
ok	0.2815515370911357	0.49424529645973675	0.22417273914404182	7	paul15_hematopoiesis	0.49156624841542346	rmtguard_strict_signal	RMTGuard strict	960	15	19	15	0.740763888888889	1.1511111111111112		0.0	0.6111111111111112	2	18.552740600000106	20261638	2000
ok	0.18301547185938327	0.41147870136429393	0.24493549076000135	5	paul15_hematopoiesis	0.42568289595004966	fixed_pcs_30	Fixed 30 PCs	960	30	19	30	0.7041666666666667	1.3085416666666667		54.09658432006836	0.6666666666666666	2	15.703666400000657	20262647	3451
ok	0.1265612233553085	0.25575489476764435	0.23804851744708805	4	paul15_hematopoiesis	0.4263355810689333	fixed_pcs_50	Fixed 50 PCs	960	50	19	50	0.6807638888888888	1.4488194444444444		55.81806182861328	0.6666666666666666	2	19.321634300002188	20263656	3451
ok	0.23178926645590786	0.4624275857368656	0.22338475592746135	5	paul15_hematopoiesis	0.4720011551414478	rmtguard	RMTGuard	960	14	19	14	0.7369444444444445	1.1322222222222222		0.0	0.5555555555555556	3	17.848372199998266	20260730	2000
ok	0.23178926645590786	0.4624275857368656	0.22338475592746135	5	paul15_hematopoiesis	0.4720011551414478	rmtguard_strict_signal	RMTGuard strict	960	14	19	14	0.7369444444444445	1.1322222222222222		0.0	0.5555555555555556	3	16.207361699998728	20261739	2000
ok	0.20232303752200173	0.3970381325402065	0.25009981153328253	3	paul15_hematopoiesis	0.40834138363494626	fixed_pcs_30	Fixed 30 PCs	960	30	19	30	0.6990972222222223	1.2613194444444444		54.0965690612793	0.6111111111111112	3	13.154238299997814	20262748	3451
ok	0.06826443028290144	0.1354399860285989	0.24054460582084067	5	paul15_hematopoiesis	0.409264867520059	fixed_pcs_50	Fixed 50 PCs	960	50	19	50	0.6709027777777777	1.4091666666666667		55.81806182861328	0.6666666666666666	3	18.223430400001234	20263757	3451
ok	0.2728223630123591	0.47844407697511676	0.24787769886252567	5	paul15_hematopoiesis	0.4685376661025094	rmtguard	RMTGuard	960	14	19	14	0.7389583333333334	1.149513888888889		0.0	0.5555555555555556	4	18.004148100000748	20260831	2000
ok	0.2728223630123591	0.47844407697511676	0.24787769886252567	5	paul15_hematopoiesis	0.4685376661025094	rmtguard_strict_signal	RMTGuard strict	960	14	19	14	0.7389583333333334	1.149513888888889		0.0	0.5555555555555556	4	15.954228099999455	20261840	2000
ok	0.14694301691206366	0.3594447147730201	0.24812136751872976	3	paul15_hematopoiesis	0.4100447340596809	fixed_pcs_30	Fixed 30 PCs	960	30	19	30	0.6965277777777777	1.3134722222222222		54.0965461730957	0.6666666666666666	4	13.868207700001221	20262849	3451
ok	0.048695907502890566	0.14692013984210364	0.23321272506102728	6	paul15_hematopoiesis	0.4068472929543192	fixed_pcs_50	Fixed 50 PCs	960	50	19	50	0.6708333333333333	1.4502777777777778		55.81806182861328	0.6666666666666666	4	18.825509999998758	20263858	3451
ok	0.2849650877326529	0.49312275800056976	0.2405906725319638	5	paul15_hematopoiesis	0.46012692585323717	rmtguard	RMTGuard	960	15	19	14	0.7399305555555554	1.1597916666666668		0.0	0.6666666666666666	5	18.699187999998685	20260932	2000
